,participant,soundsA,A.rt,B.rt,C.rt,resposta,quest.rt,frase,foco,condicao
12,Part_1,c_selecao_v1_wav/C_17A.wav,3.5619459000008646,0.843854899998405,0.923699699997087,s,5.012680599989835,C_17,foco,C
14,Part_1,c_selecao_v1_wav/C_79A.wav,0.7223903999984032,1.1428843999892706,1.149737500003539,n,3.402494999987539,C_79,foco,S_CE
21,Part_1,c_selecao_v1_wav/C_118A.wav,1.0259742000052938,0.4577981000038562,0.4691994999884628,n,0.828542400005972,C_118,foco,A_EC
23,Part_1,c_selecao_v1_wav/C_59A.wav,0.5580696999968495,0.4955687000037869,0.4386857000063173,s,3.592213100011577,C_59,foco,C
29,Part_1,c_selecao_v1_wav/C_107A.wav,1.0597109999944223,0.6984789999987697,0.5686662000080105,s,1.830431199996383,C_107,foco,C
31,Part_1,c_selecao_v1_wav/C_32A.wav,0.3406973000091966,0.8529560999886598,0.724167899999884,s,0.8334538000053726,C_32,foco,S_EC
33,Part_1,c_selecao_v1_wav/C_54A.wav,0.9883236999885412,0.622186699998565,0.7410783000086667,n,0.6609144999965793,C_54,foco,E
43,Part_1,c_selecao_v1_wav/C_27A.wav,0.8839878999860957,0.917138699995121,1.1016661999892676,n,1.8272881000011691,C_27,foco,A_CE
44,Part_1,c_selecao_v1_wav/C_43A.wav,0.8956472999998368,1.0117605999985244,0.419884799994179,n,0.7948220999969635,C_43,foco,S_CE
45,Part_1,c_selecao_v1_wav/C_1A.wav,1.4694159999926342,0.7053420000011101,0.8966762999916682,n,0.677882200005115,C_1,foco,S_CE
46,Part_1,c_selecao_v1_wav/C_74A.wav,1.020716499988339,0.7928952999936882,0.924690300002112,s,2.319232099995133,C_74,foco,S_EC
48,Part_1,c_selecao_v1_wav/C_96A.wav,0.7078455000009853,0.3617006999993464,0.5981133000022965,n,1.5803976000024704,C_96,foco,E
52,Part_1,c_selecao_v1_wav/C_140A.wav,0.7716849999997066,0.6780763999995543,0.3916327000042656,s,0.5486404999974184,C_140,foco,S_EC
4,Part_2,c_selecao_v3_wav/C_13A.wav,0.34467,0.772125,5.2963,s,1.750615,C_13,foco,S_CE
6,Part_2,c_selecao_v3_wav/C_81A.wav,0.82617,0.465535,0.424145,n,0.21422,C_81,foco,A_CE
13,Part_2,c_selecao_v3_wav/C_120A.wav,0.509795,0.623605,1.00989,s,1.48056,C_120,foco,E
15,Part_2,c_selecao_v3_wav/C_55A.wav,1.083785,3.17692,0.625455,s,1.17368,C_55,foco,S_CE
21,Part_2,c_selecao_v3_wav/C_103A.wav,0.86564,0.67567,4.061355,s,4.517495,C_103,foco,S_CE
23,Part_2,c_selecao_v3_wav/C_34A.wav,2.14635,1.44163,1.27201,s,0.71064,C_34,foco,A_EC
25,Part_2,c_selecao_v3_wav/C_50A.wav,0.77172,0.874415,2.23312,s,0.45914,C_50,foco,S_EC
