,participant,soundsA,A.rt,B.rt,C.rt,resposta,quest.rt,frase,foco,condicao
5,Leticia_2511,l_selecao_v1_wav/L_109A.wav,1.07944,1.94403,0.96035,s,1.0038,L_109,foco,S_CE
8,Leticia_2511,l_selecao_v1_wav/L_94A.wav,0.65257,0.71876,0.758215,s,1.21395,L_94,foco,A_EC
10,Leticia_2511,l_selecao_v1_wav/L_49A.wav,1.128935,0.40926,0.683385,s,0.772675,L_49,foco,S_CE
12,Leticia_2511,l_selecao_v1_wav/L_77A.wav,0.72254,0.433905,0.443615,s,0.802755,L_77,foco,C
13,Leticia_2511,l_selecao_v1_wav/L_29A.wav,0.922965,0.653115,0.778515,s,1.23339,L_29,foco,C
14,Leticia_2511,l_selecao_v1_wav/L_99A.wav,2.66385,1.088275,0.93643,n,0.73656,L_99,foco,A_CE
16,Leticia_2511,l_selecao_v1_wav/L_39A.wav,0.70351,0.770665,0.85241,n,0.636485,L_39,foco,A_CE
18,Leticia_2511,l_selecao_v1_wav/L_58A.wav,0.746655,0.51113,0.471035,n,0.602495,L_58,foco,A_EC
21,Leticia_2511,l_selecao_v1_wav/L_104A.wav,0.939695,0.32021,0.77041,s,0.419315,L_104,foco,S_EC
22,Leticia_2511,l_selecao_v1_wav/L_120A.wav,0.61906,0.40362,384,s,0.60667,L_120,foco,E
25,Leticia_2511,l_selecao_v1_wav/L_34A.wav,0.67011,1.825305,0.65194,n,0.51104,L_34,foco,A_EC
27,Leticia_2511,l_selecao_v1_wav/L_7A.wav,1.18244,0.41072,0.480685,s,0.38138,L_7,foco,S_CE
32,Leticia_2511,l_selecao_v1_wav/L_24A.wav,0.46924,0.297045,0.385225,s,0.64265,L_24,foco,E
35,Leticia_2511,l_selecao_v1_wav/L_86A.wav,0.75258,0.356005,0.521785,s,0.75379,L_86,foco,S_EC
37,Leticia_2511,l_selecao_v1_wav/L_2A.wav,0.73659,0.39422,0.9537,s,0.50256,L_2,foco,S_EC
42,Leticia_2511,l_selecao_v1_wav/L_141A.wav,0.33953,0.47536,0.71988,n,0.61822,L_141,foco,A_CE
5,Gabi_1412,l_selecao_v1_wav/L_111A.wav,0.806175,1.93388,0.609415,n,3.1575,L_111,foco,A_CE
8,Gabi_1412,l_selecao_v1_wav/L_96A.wav,0.285045,0.64491,0.67588,n,1.09003,L_96,foco,E
10,Gabi_1412,l_selecao_v1_wav/L_51A.wav,0.303595,0.70201,1.97766,n,0.648105,L_51,foco,A_CE
12,Gabi_1412,l_selecao_v1_wav/L_73A.wav,0.30896,0.84631,0.907895,n,1.864055,L_73,foco,S_CE
13,Gabi_1412,l_selecao_v1_wav/L_25A.wav,0.148015,0.744995,0.77046,n,3.926585,L_25,foco,S_CE
14,Gabi_1412,l_selecao_v1_wav/L_101A.wav,0.402535,0.219315,0.42048,s,2.43228,L_101,foco,C
16,Gabi_1412,l_selecao_v1_wav/L_41A.wav,0.507955,0.70207,0.30879,n,1.15181,L_41,foco,C
18,Gabi_1412,l_selecao_v1_wav/L_60A.wav,0.05875,1.22806,0.02557,n,0.86624,L_60,foco,E
21,Gabi_1412,l_selecao_v1_wav/L_106A.wav,0.20122,0.1429,0.392765,s,0.70902,L_106,foco,A_EC
22,Gabi_1412,l_selecao_v1_wav/L_116A.wav,0.225785,0.62021,0.54494,s,0.6346,L_116,foco,S_EC
25,Gabi_1412,l_selecao_v1_wav/L_36A.wav,0.454685,0.700495,0.152005,n,0.755945,L_36,foco,E
27,Gabi_1412,l_selecao_v1_wav/L_9A.wav,0.62797,0.03917,0.347295,n,0.58128,L_9,foco,A_CE
32,Gabi_1412,l_selecao_v1_wav/L_20A.wav,0.53804,0.36205,0.3111,s,0.638215,L_20,foco,S_EC
35,Gabi_1412,l_selecao_v1_wav/L_88A.wav,0.7601,0.35144,0.46357,s,0.846425,L_88,foco,A_EC
37,Gabi_1412,l_selecao_v1_wav/L_4A.wav,0.50242,0.3626,0.58394,s,3.36178,L_4,foco,A_EC
42,Gabi_1412,l_selecao_v1_wav/L_143A.wav,0.38244,0.624145,0.602385,n,0.38084,L_143,foco,C
5,Gabriel_1412,l_selecao_v1_wav/L_111A.wav,673,1709,1708,n,746,L_111,foco,A_CE
8,Gabriel_1412,l_selecao_v1_wav/L_96A.wav,542,446,943,n,3176,L_96,foco,E
10,Gabriel_1412,l_selecao_v1_wav/L_51A.wav,2174,1909,1413,s,4425,L_51,foco,A_CE
12,Gabriel_1412,l_selecao_v1_wav/L_73A.wav,778,1091,2325,n,1709,L_73,foco,S_CE
